2023 Rank,Municipality,Designation,Primary County,2023 Estimate,2020 Census
398.0,Pittsburg,City,Camp,4335.0,415.0
399.0,Falfurrias,City,Brooks,4609.0,410.0
400.0,Rio Bravo,City,Webb,4450.0,72.0
401.0,Tulia,City,Swisher,4473.0,145.0
402.0,Palacios,City,Matagorda,4395.0,48.0
403.0,Garden Ridge,City,Comal,4186.0,413.0
404.0,Hunters Creek Village,City,Harris,4385.0,75.0
405.0,Weston Lakes,City,Fort Bend,3853.0,1259.0
406.0,Jourdanton,City,Atascosa,4094.0,513.0
407.0,Denver City,Town,Yoakum,4470.0,378.0
408.0,Comanche,City,Comanche,4211.0,197.0
409.0,Mathis,City,San Patricio,4333.0,111.0
410.0,Spring Valley Village,City,Harris,4229.0,102.0
411.0,Nash,City,Bowie,3814.0,1091.0
412.0,Jacksboro,City,Jack,4184.0,84.0
413.0,Bellville,City,Austin,4206.0,26.0
414.0,Caddo Mills,City,Hunt,1495.0,17980.0
415.0,Springtown,City,Parker,3064.0,3646.0
416.0,Whitesboro,City,Grayson,4074.0,263.0
417.0,Farmersville,City,Collin,3612.0,1559.0
418.0,Smithville,City,Bastrop,3922.0,520.0
419.0,Dimmitt,City,Castro,4171.0,240.0
420.0,Friona,City,Parmer,4171.0,273.0
421.0,Cisco,City,Eastland,3883.0,317.0
422.0,Colorado City,City,Mitchell,3991.0,10.0
423.0,Clyde,City,Callahan,3811.0,457.0
424.0,Wills Point,City,Van Zandt,3747.0,624.0
425.0,Jarrell,City,Williamson,1753.0,12704.0
426.0,Coleman,City,Coleman,3912.0,138.0
427.0,Castle Hills,City,Bexar,3978.0,178.0
428.0,Sullivan City,City,Hidalgo,3908.0,23.0
429.0,Haslet,City,Tarrant,1952.0,9780.0
430.0,Shenandoah,City,Montgomery,3499.0,880.0
431.0,Columbus,City,Colorado,3699.0,235.0
432.0,Bunker Hill Village,City,Harris,3822.0,99.0
433.0,Edgecliff Village,Town,Tarrant,3788.0,121.0
434.0,Laguna Vista,Town,Cameron,3520.0,614.0
435.0,Shavano Park,City,Bexar,3524.0,562.0
436.0,Taylor Lake Village,City,Harris,3704.0,24.0
437.0,Howe,Town,Grayson,3571.0,286.0
438.0,Anthony,Town,El Paso,3671.0,22.0
439.0,Eastland,City,Eastland,3609.0,100.0
440.0,Cockrell Hill,City,Dallas,3815.0,477.0
441.0,Chandler,City,Henderson,3275.0,1069.0
442.0,West Columbia,City,Brazoria,3644.0,77.0
443.0,Winnsboro,City,Wood,3455.0,460.0
444.0,Cotulla,City,La Salle,3718.0,285.0
445.0,Groesbeck,City,Limestone,3631.0,58.0
446.0,San Diego,City,Duval,3748.0,382.0
447.0,Godley,City,Johnson,1450.0,14752.0
448.0,Ballinger,City,Runnels,3619.0,105.0
449.0,Sweeny,City,Brazoria,3626.0,154.0
450.0,Reno,City,Lamar,3454.0,261.0
451.0,Teague,City,Freestone,3384.0,449.0
452.0,Clifton,City,Bosque,3465.0,193.0
453.0,Llano,City,Llano,3325.0,559.0
454.0,Eagle Lake,City,Colorado,3442.0,192.0
455.0,Reno,City,Parker,2878.0,2123.0
456.0,Post,City,Garza,4790.0,2722.0
457.0,Port Aransas,City,Nueces,2904.0,1866.0
458.0,West Orange,City,Orange,3459.0,98.0
459.0,Dublin,City,Erath,3359.0,188.0
460.0,Kenedy,City,Karnes,3473.0,202.0
461.0,Annetta,Town,Parker,3041.0,1131.0
462.0,Ferris,City,Ellis,2788.0,2088.0
463.0,Waller,City,Waller,2682.0,2558.0
464.0,Beach City,City,Chambers,3221.0,450.0
465.0,Crane,City,Crane,3478.0,334.0
466.0,Hideaway,City,Smith,3201.0,462.0
467.0,Dilley,City,Frio,3274.0,180.0
468.0,Grand Saline,City,Van Zandt,3107.0,480.0
469.0,Henrietta,City,Clay,3111.0,411.0
470.0,Onalaska,City,Polk,3020.0,675.0
471.0,Early,City,Brown,3087.0,424.0
472.0,DeCordova,City,Hood,3007.0,662.0
473.0,Nocona,City,Montague,3002.0,626.0
474.0,West Lake Hills,City,Travis,3444.0,764.0
475.0,Lytle,City,Atascosa,2914.0,906.0
476.0,Combes,Town,Cameron,2999.0,574.0
477.0,Troy,City,Bell,2375.0,3343.0
478.0,Castroville,City,Medina,2954.0,633.0
479.0,San Saba,City,San Saba,3117.0,6.0
480.0,Karnes City,City,Karnes,3111.0,3.0
481.0,Presidio,City,Presidio,3264.0,496.0
482.0,Cactus,City,Moore,3057.0,108.0
483.0,Needville,City,Fort Bend,3089.0,3.0
484.0,Bishop,City,Nueces,3174.0,290.0
485.0,La Villa,City,Hidalgo,2804.0,966.0
486.0,Hollywood Park,Town,Bexar,3130.0,179.0
487.0,Piney Point Village,City,Harris,3128.0,195.0
488.0,Haskell,City,Haskell,3089.0,100.0
489.0,Double Oak,Town,Denton,3054.0,0.0
490.0,Talty,Town,Kaufman,2500.0,2192.0
491.0,Spearman,City,Hansford,3171.0,423.0
492.0,Olney,City,Young,3007.0,33.0
493.0,Hamilton,City,Hamilton,2895.0,352.0
494.0,Poteet,City,Atascosa,2795.0,705.0
495.0,Fairfield,City,Freestone,2850.0,428.0
496.0,Oak Ridge North,City,Montgomery,3057.0,291.0
497.0,Shady Shores,Town,Denton,2764.0,698.0
498.0,El Lago,City,Harris,3090.0,469.0
499.0,Hackberry,Town,Denton,2973.0,98.0
500.0,Stamford,City,Haskell,2907.0,120.0
501.0,Shallowater,City,Lubbock,2964.0,108.0
502.0,Taft,City,San Patricio,2801.0,403.0
503.0,Glen Rose,City,Somervell,2659.0,857.0
504.0,Wimberley,City,Hays,2839.0,148.0
505.0,Clarksville,City,Red River,2857.0,67.0
506.0,Van,City,Van Zandt,3908.0,2677.0
507.0,Brazoria,City,Brazoria,2866.0,45.0
508.0,Rancho Viejo,Town,Cameron,2838.0,35.0
509.0,Abernathy,City,Hale,2865.0,178.0
510.0,Vinton,Village,El Paso,2684.0,481.0
511.0,Schulenburg,City,Fayette,2633.0,570.0
512.0,Pottsboro,Town,Grayson,2488.0,1170.0
513.0,Montgomery,City,Montgomery,1948.0,4215.0
514.0,Ponder,Town,Denton,2442.0,1290.0
515.0,Refugio,Town,Refugio,2712.0,166.0
516.0,Hallettsville,City,Lavaca,2731.0,92.0
517.0,Big Lake,City,Reagan,2965.0,715.0
518.0,Balcones Heights,City,Bexar,2746.0,208.0
519.0,Edcouch,City,Hidalgo,2732.0,201.0
520.0,Westworth Village,City,Tarrant,2585.0,294.0
521.0,Hudson Oaks,City,Parker,2174.0,2217.0
522.0,Stanton,City,Martin,2657.0,11.0
523.0,Combine,City,Kaufman,2245.0,1559.0
524.0,Jonestown,City,Travis,2365.0,973.0
525.0,Palmhurst,City,Hidalgo,2601.0,38.0
526.0,West,City,McLennan,2531.0,217.0
527.0,Seymour,City,Baylor,2575.0,4.0
528.0,Pelican Bay,City,Tarrant,2049.0,2548.0
529.0,Escobares,City,Starr,2588.0,97.0
530.0,Kemah,City,Galveston,1807.0,4178.0
